gr24.tsp 5 24 200 0.1 0.9 OX SWP TUR ECH NCH 1000 0 1272 No optimal path
totalCost;error;time;PopulationNumber;pm;pk;cross;mutate;select;success;stop;stopCounter;optimalPathSize;maxErrorRatio
1369;7.67296;0;200;0.1;0.7;OX;SWP;DUE;ECH;NCH;1000;1272;0
1557;22.4686;1;200;0.1;0.7;PMX;SWP;DUE;ECH;NCH;1000;1272;0
1387;9.07233;0;200;0.1;0.7;OX;SWP;DUE;ECH;GEN;1000;1272;0
1522;19.6698;0;200;0.1;0.7;PMX;SWP;DUE;ECH;GEN;1000;1272;0
1433;12.7201;2;200;0.1;0.7;OX;SWP;TUR;FCH;NCH;1000;1272;0
1454;14.3396;2;200;0.1;0.7;PMX;SWP;TUR;FCH;NCH;1000;1272;0
1551;21.9497;0;200;0.1;0.7;OX;SWP;TUR;FCH;GEN;1000;1272;0
1549;21.7767;0;200;0.1;0.7;PMX;SWP;TUR;FCH;GEN;1000;1272;0
1422;11.7925;3;200;0.1;0.7;OX;SWP;TUR;ECH;NCH;1000;1272;0
1437;13.0031;3;200;0.1;0.7;PMX;SWP;TUR;ECH;NCH;1000;1272;0
1437;13.0346;0;200;0.1;0.7;OX;SWP;TUR;ECH;GEN;1000;1272;0
1491;17.2327;0;200;0.1;0.7;PMX;SWP;TUR;ECH;GEN;1000;1272;0
1332;4.7327;0;200;0.1;0.9;OX;SWP;DUE;FCH;NCH;1000;1272;0
1419;11.5566;0;200;0.1;0.9;PMX;SWP;DUE;FCH;NCH;1000;1272;0
1357;6.69811;0;200;0.1;0.9;OX;SWP;DUE;FCH;GEN;1000;1272;0
1529;20.2201;0;200;0.1;0.9;PMX;SWP;DUE;FCH;GEN;1000;1272;0
1402;10.2201;1;200;0.1;0.9;OX;SWP;DUE;ECH;NCH;1000;1272;0
1646;29.434;1;200;0.1;0.9;PMX;SWP;DUE;ECH;NCH;1000;1272;0
1381;8.61635;0;200;0.1;0.9;OX;SWP;DUE;ECH;GEN;1000;1272;0
1505;18.3176;0;200;0.1;0.9;PMX;SWP;DUE;ECH;GEN;1000;1272;0
1460;14.7799;2;200;0.1;0.9;OX;SWP;TUR;FCH;NCH;1000;1272;0
1442;13.4119;2;200;0.1;0.9;PMX;SWP;TUR;FCH;NCH;1000;1272;0
1455;14.3868;0;200;0.1;0.9;OX;SWP;TUR;FCH;GEN;1000;1272;0
1542;21.2736;0;200;0.1;0.9;PMX;SWP;TUR;FCH;GEN;1000;1272;0
1433;12.7201;3;200;0.1;0.9;OX;SWP;TUR;ECH;NCH;1000;1272;0
1464;15.1101;3;200;0.1;0.9;PMX;SWP;TUR;ECH;NCH;1000;1272;0
1408;10.739;0;200;0.1;0.9;OX;SWP;TUR;ECH;GEN;1000;1272;0
1480;16.3994;0;200;0.1;0.9;PMX;SWP;TUR;ECH;GEN;1000;1272;0
1309;2.92453;0;200;0.3;0.7;OX;SWP;DUE;FCH;NCH;1000;1272;0
1477;16.1478;0;200;0.3;0.7;PMX;SWP;DUE;FCH;NCH;1000;1272;0
1348;6.03774;0;200;0.3;0.7;OX;SWP;DUE;FCH;GEN;1000;1272;0
1524;19.827;0;200;0.3;0.7;PMX;SWP;DUE;FCH;GEN;1000;1272;0
1382;8.71069;1;200;0.3;0.7;OX;SWP;DUE;ECH;NCH;1000;1272;0
1420;11.6981;1;200;0.3;0.7;PMX;SWP;DUE;ECH;NCH;1000;1272;0
1366;7.38994;0;200;0.3;0.7;OX;SWP;DUE;ECH;GEN;1000;1272;0
1532;20.5031;0;200;0.3;0.7;PMX;SWP;DUE;ECH;GEN;1000;1272;0
1449;13.9465;2;200;0.3;0.7;OX;SWP;TUR;FCH;NCH;1000;1272;0
1497;17.7516;2;200;0.3;0.7;PMX;SWP;TUR;FCH;NCH;1000;1272;0
1499;17.9088;0;200;0.3;0.7;OX;SWP;TUR;FCH;GEN;1000;1272;0
1493;17.4371;0;200;0.3;0.7;PMX;SWP;TUR;FCH;GEN;1000;1272;0
1430;12.4843;3;200;0.3;0.7;OX;SWP;TUR;ECH;NCH;1000;1272;0
1537;20.8648;3;200;0.3;0.7;PMX;SWP;TUR;ECH;NCH;1000;1272;0
1489;17.1226;0;200;0.3;0.7;OX;SWP;TUR;ECH;GEN;1000;1272;0
1447;13.7736;0;200;0.3;0.7;PMX;SWP;TUR;ECH;GEN;1000;1272;0
1330;4.60692;0;200;0.3;0.9;OX;SWP;DUE;FCH;NCH;1000;1272;0
1421;11.7138;0;200;0.3;0.9;PMX;SWP;DUE;FCH;NCH;1000;1272;0
1357;6.69811;0;200;0.3;0.9;OX;SWP;DUE;FCH;GEN;1000;1272;0
