gr17.tsp 5 17 200 0.1 0.9 OX SWP TUR ECH NCH 1000 0 2085 No optimal path
totalCost;error;time;PopulationNumber;pm;pk;cross;mutate;select;success;stop;stopCounter;optimalPathSize;maxErrorRatio
2132;2.29257;2;200;0.1;0.7;OX;SWP;TUR;FCH;NCH;1000;2085;0
2213;6.13909;2;200;0.1;0.7;PMX;SWP;TUR;FCH;NCH;1000;2085;0
2139;2.59952;0;200;0.1;0.7;OX;SWP;TUR;FCH;GEN;1000;2085;0
2199;5.46763;0;200;0.1;0.7;PMX;SWP;TUR;FCH;GEN;1000;2085;0
2171;4.14388;2;200;0.1;0.7;OX;SWP;TUR;ECH;NCH;1000;2085;0
2180;4.59472;2;200;0.1;0.7;PMX;SWP;TUR;ECH;NCH;1000;2085;0
2153;3.27098;0;200;0.1;0.7;OX;SWP;TUR;ECH;GEN;1000;2085;0
2210;6.03357;0;200;0.1;0.7;PMX;SWP;TUR;ECH;GEN;1000;2085;0
2094;0.441247;0;200;0.1;0.9;OX;SWP;DUE;FCH;NCH;1000;2085;0
2136;2.46523;0;200;0.1;0.9;PMX;SWP;DUE;FCH;NCH;1000;2085;0
2103;0.882494;0;200;0.1;0.9;OX;SWP;DUE;FCH;GEN;1000;2085;0
2270;8.89209;0;200;0.1;0.9;PMX;SWP;DUE;FCH;GEN;1000;2085;0
2093;0.393285;0;200;0.1;0.9;OX;SWP;DUE;ECH;NCH;1000;2085;0
2192;5.16067;0;200;0.1;0.9;PMX;SWP;DUE;ECH;NCH;1000;2085;0
2131;2.2446;0;200;0.1;0.9;OX;SWP;DUE;ECH;GEN;1000;2085;0
2199;5.506;0;200;0.1;0.9;PMX;SWP;DUE;ECH;GEN;1000;2085;0
2134;2.3789;2;200;0.1;0.9;OX;SWP;TUR;FCH;NCH;1000;2085;0
2162;3.73141;2;200;0.1;0.9;PMX;SWP;TUR;FCH;NCH;1000;2085;0
2178;4.46043;0;200;0.1;0.9;OX;SWP;TUR;FCH;GEN;1000;2085;0
2143;2.80096;0;200;0.1;0.9;PMX;SWP;TUR;FCH;GEN;1000;2085;0
2141;2.71463;2;200;0.1;0.9;OX;SWP;TUR;ECH;NCH;1000;2085;0
